method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellsam_generalist,pannuke,pannuke_fold1_0.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_0_cellsam.tif,17,8,0.5140800145812449,0.345967494633548,0.24633202075958252,0.7697875648736954,0.32,0.21114790286975718,0.23529411764705882,0.5,0.32,4,13,4
cellsam_generalist,pannuke,pannuke_fold1_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1_cellsam.tif,16,10,0.6478607562376747,0.47913760304375397,0.4091093998688918,0.7597745997565133,0.5384615384615384,0.3368101323858101,0.4375,0.7,0.5384615384615384,7,9,3
cellsam_generalist,pannuke,pannuke_fold1_10.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_10_cellsam.tif,18,18,0.6930219201684694,0.5302475465065183,0.3539278573460049,0.7078557146920098,0.5,0.2827061206949475,0.5,0.5,0.5,9,9,9
cellsam_generalist,pannuke,pannuke_fold1_100.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_100_cellsam.tif,18,21,0.709207634969193,0.5494358768943187,0.4136461386313805,0.7332817912101746,0.5641025641025641,0.38148809523809524,0.6111111111111112,0.5238095238095238,0.5641025641025641,11,7,10
cellsam_generalist,pannuke,pannuke_fold1_1000.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1000_cellsam.tif,3,2,0.1029175281415116,0.05425042383143618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2
cellsam_generalist,pannuke,pannuke_fold1_1001.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1001_cellsam.tif,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,7
cellsam_generalist,pannuke,pannuke_fold1_1002.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1002_cellsam.tif,3,5,0.696514745308311,0.5343480049362402,0.3664471209049225,0.732894241809845,0.5,0.4150227617602428,0.6666666666666666,0.4,0.5,2,1,3
cellsam_generalist,pannuke,pannuke_fold1_1003.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1003_cellsam.tif,3,6,0.2908980949501058,0.17020523708421798,0.1134060091442532,0.5103270411491394,0.2222222222222222,0.09848862315230028,0.3333333333333333,0.16666666666666666,0.2222222222222222,1,2,5
cellsam_generalist,pannuke,pannuke_fold1_1004.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1004_cellsam.tif,1,5,0.41184688460463814,0.2593244194229416,0.23396825790405273,0.7019047737121582,0.3333333333333333,0.2593244194229416,1.0,0.2,0.3333333333333333,1,0,4
cellsam_generalist,pannuke,pannuke_fold1_1005.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1005_cellsam.tif,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,5
cellsam_generalist,pannuke,pannuke_fold1_1006.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1006_cellsam.tif,1,7,0.353091684434968,0.21439668565510098,0.1748310774564743,0.6993243098258972,0.25,0.21439668565510098,1.0,0.14285714285714285,0.25,1,0,6
cellsam_generalist,pannuke,pannuke_fold1_1007.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1007_cellsam.tif,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,5
cellsam_generalist,pannuke,pannuke_fold1_1008.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1008_cellsam.tif,16,17,0.6707845579078455,0.5046469794633488,0.4804867469903194,0.7207301204854791,0.6666666666666666,0.4882496849284602,0.6875,0.6470588235294118,0.6666666666666666,11,5,6
cellsam_generalist,pannuke,pannuke_fold1_1009.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1009_cellsam.tif,12,12,0.527063907209461,0.3578321624334131,0.43856079379717516,0.7518185036523002,0.5833333333333334,0.3477394636015326,0.5833333333333334,0.5833333333333334,0.5833333333333334,7,5,5
cellsam_generalist,pannuke,pannuke_fold1_101.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_101_cellsam.tif,40,25,0.7223102448357299,0.5653252222742162,0.5345042943954469,0.7238078986605009,0.7384615384615385,0.5552817556258136,0.6,0.96,0.7384615384615385,24,16,1
cellsam_generalist,pannuke,pannuke_fold1_1010.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1010_cellsam.tif,14,15,0.6244045437889337,0.4539158231220032,0.372905394126629,0.6758910268545151,0.5517241379310345,0.33121951219512197,0.5714285714285714,0.5333333333333333,0.5517241379310345,8,6,7
cellsam_generalist,pannuke,pannuke_fold1_1011.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1011_cellsam.tif,0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,6
cellsam_generalist,pannuke,pannuke_fold1_1012.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1012_cellsam.tif,17,10,0.6761286641466372,0.510720827497037,0.4721825652652316,0.7968080788850784,0.5925925925925926,0.4678601340033501,0.47058823529411764,0.8,0.5925925925925926,8,9,2
cellsam_generalist,pannuke,pannuke_fold1_1013.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1013_cellsam.tif,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
cellsam_generalist,pannuke,pannuke_fold1_1014.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1014_cellsam.tif,3,12,0.21805540924892025,0.12236935445731852,0.17390471299489338,0.6521426737308502,0.26666666666666666,0.12236935445731852,0.6666666666666666,0.16666666666666666,0.26666666666666666,2,1,10
cellsam_generalist,pannuke,pannuke_fold1_1015.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1015_cellsam.tif,6,2,0.2637514839730906,0.15190883190883192,0.1372084617614746,0.5488338470458984,0.25,0.08049171566007482,0.16666666666666666,0.5,0.25,1,5,1
cellsam_generalist,pannuke,pannuke_fold1_1016.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1016_cellsam.tif,3,8,0.6447254958321357,0.4757158006362672,0.39472669904882257,0.7236656149228414,0.5454545454545454,0.4757158006362672,1.0,0.375,0.5454545454545454,3,0,5
cellsam_generalist,pannuke,pannuke_fold1_1017.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1017_cellsam.tif,4,10,0.24815184815184815,0.1416514598540146,0.11661807979856217,0.8163265585899353,0.14285714285714285,0.05925925925925926,0.25,0.1,0.14285714285714285,1,3,9
cellsam_generalist,pannuke,pannuke_fold1_1018.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1018_cellsam.tif,69,47,0.6836795252225519,0.5193868349864743,0.579351942087042,0.7814514567685682,0.7413793103448276,0.514991595324655,0.6231884057971014,0.9148936170212766,0.7413793103448276,43,26,4
cellsam_generalist,pannuke,pannuke_fold1_1019.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1019_cellsam.tif,81,55,0.6995931283905967,0.5379801842516948,0.5461899568052853,0.790232277931051,0.6911764705882353,0.46854771784232363,0.5802469135802469,0.8545454545454545,0.6911764705882353,47,34,8
cellsam_generalist,pannuke,pannuke_fold1_102.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_102_cellsam.tif,35,24,0.687682787919835,0.5240217697288168,0.4699333724329027,0.7296333940405595,0.6440677966101694,0.42776141708056786,0.5428571428571428,0.7916666666666666,0.6440677966101694,19,16,5
cellsam_generalist,pannuke,pannuke_fold1_1020.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1020_cellsam.tif,82,60,0.7424466423737637,0.5903897738185913,0.5491868072832135,0.8296226237682586,0.6619718309859155,0.4997501717569171,0.573170731707317,0.7833333333333333,0.6619718309859155,47,35,13
cellsam_generalist,pannuke,pannuke_fold1_1021.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1021_cellsam.tif,80,65,0.7862652300876045,0.6478064644587509,0.6338635822822307,0.7789001646688429,0.8137931034482758,0.6263797451770332,0.7375,0.9076923076923077,0.8137931034482758,59,21,6
cellsam_generalist,pannuke,pannuke_fold1_1022.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1022_cellsam.tif,74,40,0.5564225994426146,0.3854470146372284,0.4392040089557045,0.7823321409523487,0.5614035087719298,0.3017810026385224,0.43243243243243246,0.8,0.5614035087719298,32,42,8
cellsam_generalist,pannuke,pannuke_fold1_1023.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1023_cellsam.tif,67,57,0.7009806136743639,0.5396229040562165,0.4880788162831337,0.7963391213040603,0.6129032258064516,0.4085035962064795,0.5671641791044776,0.6666666666666666,0.6129032258064516,38,29,19
cellsam_generalist,pannuke,pannuke_fold1_1024.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1024_cellsam.tif,71,60,0.7047763322045981,0.5441348469212246,0.5227701545671652,0.7609210027588739,0.6870229007633588,0.4244732165524245,0.6338028169014085,0.75,0.6870229007633588,45,26,15
cellsam_generalist,pannuke,pannuke_fold1_1025.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1025_cellsam.tif,66,38,0.348703634118847,0.21116962486184254,0.26894232745353996,0.6992500513792038,0.38461538461538464,0.12263468723635049,0.30303030303030304,0.5263157894736842,0.38461538461538464,20,46,18
cellsam_generalist,pannuke,pannuke_fold1_1026.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1026_cellsam.tif,109,75,0.7323714548412193,0.5777492607264408,0.5423846691846848,0.7676829163844768,0.7065217391304348,0.5034292094210219,0.5963302752293578,0.8666666666666667,0.7065217391304348,65,44,10
cellsam_generalist,pannuke,pannuke_fold1_1027.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1027_cellsam.tif,81,68,0.6627177153616821,0.4955705485479613,0.4258713834237732,0.7554147158350263,0.5637583892617449,0.32874641647120145,0.5185185185185185,0.6176470588235294,0.5637583892617449,42,39,26
cellsam_generalist,pannuke,pannuke_fold1_1028.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1028_cellsam.tif,95,49,0.5952973439642476,0.4237888647866956,0.43935680306620073,0.7189474959265102,0.6111111111111112,0.37882501225404386,0.4631578947368421,0.8979591836734694,0.6111111111111112,44,51,5
cellsam_generalist,pannuke,pannuke_fold1_1029.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1029_cellsam.tif,140,91,0.6852126325390492,0.5211585154353104,0.479822285763629,0.7489118108878264,0.6406926406926406,0.4255414245662509,0.5285714285714286,0.8131868131868132,0.6406926406926406,74,66,17
cellsam_generalist,pannuke,pannuke_fold1_103.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_103_cellsam.tif,14,23,0.7907455769301505,0.6539116680861419,0.3347223094991736,0.6880403028594123,0.4864864864864865,0.2843442932728647,0.6428571428571429,0.391304347826087,0.4864864864864865,9,5,14
cellsam_generalist,pannuke,pannuke_fold1_1030.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1030_cellsam.tif,154,82,0.58053642092921,0.4089829633453795,0.3548762045674404,0.6864818383435733,0.5169491525423728,0.30309396485867074,0.3961038961038961,0.7439024390243902,0.5169491525423728,61,93,21
cellsam_generalist,pannuke,pannuke_fold1_1031.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1031_cellsam.tif,87,69,0.713926998799083,0.555121675155631,0.47894192429689264,0.7782806269824505,0.6153846153846154,0.3781533677717037,0.5517241379310345,0.6956521739130435,0.6153846153846154,48,39,21
cellsam_generalist,pannuke,pannuke_fold1_1032.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1032_cellsam.tif,70,41,0.6091040076845082,0.4379220380601596,0.44449961400246835,0.770929018035531,0.5765765765765766,0.32938422247446086,0.45714285714285713,0.7804878048780488,0.5765765765765766,32,38,9
cellsam_generalist,pannuke,pannuke_fold1_1033.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1033_cellsam.tif,118,55,0.5164377861007075,0.34810659186535764,0.24574956659636743,0.6642917972058058,0.3699421965317919,0.17212365099689042,0.2711864406779661,0.5818181818181818,0.3699421965317919,32,86,23
cellsam_generalist,pannuke,pannuke_fold1_1034.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1034_cellsam.tif,73,65,0.5239654388358345,0.3549818226631339,0.3288985663566037,0.6876970023819895,0.4782608695652174,0.23165677159180015,0.4520547945205479,0.5076923076923077,0.4782608695652174,33,40,32
cellsam_generalist,pannuke,pannuke_fold1_1035.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1035_cellsam.tif,121,83,0.6064045150604257,0.4351366817801646,0.3975907394699022,0.687360261456441,0.5784313725490197,0.30189282006229534,0.48760330578512395,0.7108433734939759,0.5784313725490197,59,62,24
cellsam_generalist,pannuke,pannuke_fold1_1036.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1036_cellsam.tif,117,69,0.6603908728128517,0.49297280782157044,0.3982160136263857,0.7121940243702668,0.5591397849462365,0.40228620623684713,0.4444444444444444,0.7536231884057971,0.5591397849462365,52,65,17
cellsam_generalist,pannuke,pannuke_fold1_1037.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1037_cellsam.tif,111,84,0.7283267768937265,0.5727310787551751,0.5463263737849701,0.7609545920576368,0.717948717948718,0.5005547911766012,0.6306306306306306,0.8333333333333334,0.717948717948718,70,41,14
cellsam_generalist,pannuke,pannuke_fold1_1038.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1038_cellsam.tif,77,81,0.7664231382099155,0.6213014867170363,0.5765834767607194,0.7853464597258074,0.7341772151898734,0.5505570835858468,0.7532467532467533,0.7160493827160493,0.7341772151898734,58,19,23
cellsam_generalist,pannuke,pannuke_fold1_1039.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1039_cellsam.tif,37,49,0.2863514208931328,0.16710043376710043,0.15129634252814358,0.7228603031900194,0.20930232558139536,0.09972961076526442,0.24324324324324326,0.1836734693877551,0.20930232558139536,9,28,40
cellsam_generalist,pannuke,pannuke_fold1_104.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_104_cellsam.tif,25,25,0.7251394155699309,0.5687989921612542,0.4927245545387269,0.7245949331451865,0.68,0.44277806385169927,0.68,0.68,0.68,17,8,8
cellsam_generalist,pannuke,pannuke_fold1_1040.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1040_cellsam.tif,91,68,0.6227637739125043,0.45218370103556954,0.4614337307852019,0.7805102467536926,0.5911949685534591,0.3630715915814386,0.5164835164835165,0.6911764705882353,0.5911949685534591,47,44,21
cellsam_generalist,pannuke,pannuke_fold1_1041.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1041_cellsam.tif,36,53,0.4301102048440321,0.27397477591814073,0.17928298537650805,0.6648410707712173,0.2696629213483146,0.1363379085892175,0.3333333333333333,0.22641509433962265,0.2696629213483146,12,24,41
cellsam_generalist,pannuke,pannuke_fold1_1042.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1042_cellsam.tif,17,21,0.6125957546342319,0.4415409255668886,0.49706010128322403,0.7264724557216351,0.6842105263157895,0.38301657905378084,0.7647058823529411,0.6190476190476191,0.6842105263157895,13,4,8
cellsam_generalist,pannuke,pannuke_fold1_1043.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1043_cellsam.tif,17,22,0.6132990408830306,0.4422720247295209,0.5376952428084153,0.7489326596260071,0.717948717948718,0.41923954372623573,0.8235294117647058,0.6363636363636364,0.717948717948718,14,3,8
cellsam_generalist,pannuke,pannuke_fold1_1044.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1044_cellsam.tif,14,18,0.5453995157384988,0.37494798168955473,0.31512652337551117,0.7202891962868827,0.4375,0.26820842529507727,0.5,0.3888888888888889,0.4375,7,7,11
cellsam_generalist,pannuke,pannuke_fold1_1045.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1045_cellsam.tif,8,27,0.7069605943152455,0.5467432710922375,0.41348264217376707,0.9044932797551155,0.45714285714285713,0.5467432710922375,1.0,0.2962962962962963,0.45714285714285713,8,0,19
cellsam_generalist,pannuke,pannuke_fold1_1046.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1046_cellsam.tif,23,24,0.5784408863011483,0.40690596734740314,0.24068995232277726,0.6284682088428073,0.3829787234042553,0.2539674491710186,0.391304347826087,0.375,0.3829787234042553,9,14,15
cellsam_generalist,pannuke,pannuke_fold1_1047.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1047_cellsam.tif,20,19,0.6380782464636167,0.468513146813886,0.49793531955816805,0.7469029793372521,0.6666666666666666,0.4299772209567198,0.65,0.6842105263157895,0.6666666666666666,13,7,6
cellsam_generalist,pannuke,pannuke_fold1_1048.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1048_cellsam.tif,15,21,0.7536498871643715,0.6046855369152316,0.514820396900177,0.7722305953502655,0.6666666666666666,0.5173305380852551,0.8,0.5714285714285714,0.6666666666666666,12,3,9
cellsam_generalist,pannuke,pannuke_fold1_1049.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1049_cellsam.tif,20,25,0.8207830166910237,0.696040701845933,0.5924797905815973,0.8331747055053711,0.7111111111111111,0.5765476262656885,0.8,0.64,0.7111111111111111,16,4,9
cellsam_generalist,pannuke,pannuke_fold1_105.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_105_cellsam.tif,27,31,0.7981458632073899,0.664095449500555,0.5288361269852211,0.7302975086938768,0.7241379310344828,0.45469098670806246,0.7777777777777778,0.6774193548387096,0.7241379310344828,21,6,10
cellsam_generalist,pannuke,pannuke_fold1_1050.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1050_cellsam.tif,23,28,0.38740449178050473,0.24023661842407534,0.238326021269256,0.675257060262892,0.35294117647058826,0.11717537506466633,0.391304347826087,0.32142857142857145,0.35294117647058826,9,14,19
cellsam_generalist,pannuke,pannuke_fold1_1051.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1051_cellsam.tif,6,21,0.4405902148589179,0.2825365205843294,0.2409066359202067,0.8130598962306976,0.2962962962962963,0.18788437884378845,0.6666666666666666,0.19047619047619047,0.2962962962962963,4,2,17
cellsam_generalist,pannuke,pannuke_fold1_1052.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1052_cellsam.tif,16,24,0.5493678079272624,0.3787092351385761,0.35023799836635594,0.6367963606661017,0.55,0.25082185695246556,0.6875,0.4583333333333333,0.55,11,5,13
cellsam_generalist,pannuke,pannuke_fold1_1053.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1053_cellsam.tif,6,8,0.06100130430420387,0.0314602090448101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,8
cellsam_generalist,pannuke,pannuke_fold1_1054.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1054_cellsam.tif,17,25,0.6616835067422905,0.4944148189727757,0.31692066079094294,0.7394815418455336,0.42857142857142855,0.2873168608868043,0.5294117647058824,0.36,0.42857142857142855,9,8,16
cellsam_generalist,pannuke,pannuke_fold1_1055.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1055_cellsam.tif,21,27,0.6892313791565489,0.5258223062381853,0.5059421509504318,0.8095074415206909,0.625,0.42175720425561897,0.7142857142857143,0.5555555555555556,0.625,15,6,12
cellsam_generalist,pannuke,pannuke_fold1_1056.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1056_cellsam.tif,27,30,0.6769353870774155,0.511641971575446,0.4361777410172579,0.6906147566106584,0.631578947368421,0.3817789817015866,0.6666666666666666,0.6,0.631578947368421,18,9,12
cellsam_generalist,pannuke,pannuke_fold1_1057.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1057_cellsam.tif,15,31,0.6920378929426033,0.5290962859004561,0.3797046542167664,0.7939279133623297,0.4782608695652174,0.4190622383477533,0.7333333333333333,0.3548387096774194,0.4782608695652174,11,4,20
cellsam_generalist,pannuke,pannuke_fold1_1058.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1058_cellsam.tif,27,28,0.6901178443748069,0.5268549093604691,0.44959981874986127,0.727293824448305,0.6181818181818182,0.3823672971323978,0.6296296296296297,0.6071428571428571,0.6181818181818182,17,10,11
cellsam_generalist,pannuke,pannuke_fold1_1059.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1059_cellsam.tif,24,32,0.7497393953973218,0.5996664956387892,0.5244335361889431,0.8157855007383559,0.6428571428571429,0.4343550520443959,0.75,0.5625,0.6428571428571429,18,6,14
cellsam_generalist,pannuke,pannuke_fold1_106.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_106_cellsam.tif,35,34,0.8393142035368402,0.723119216324002,0.6933633641920228,0.7716463246653157,0.8985507246376812,0.7090245775729647,0.8857142857142857,0.9117647058823529,0.8985507246376812,31,4,3
cellsam_generalist,pannuke,pannuke_fold1_1060.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1060_cellsam.tif,20,34,0.6157587548638133,0.4448348559381588,0.39125735671431927,0.7545677593776158,0.5185185185185185,0.38570412251469655,0.7,0.4117647058823529,0.5185185185185185,14,6,20
cellsam_generalist,pannuke,pannuke_fold1_1061.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1061_cellsam.tif,212,178,0.5818790459546607,0.41031693685562537,0.33754829443418066,0.6517021526204477,0.517948717948718,0.2556249227345778,0.47641509433962265,0.5674157303370787,0.517948717948718,101,111,77
cellsam_generalist,pannuke,pannuke_fold1_1062.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1062_cellsam.tif,209,196,0.6426959749617877,0.47350922350922353,0.44813100467493505,0.6528527226379449,0.6864197530864198,0.3601174762407603,0.6650717703349283,0.7091836734693877,0.6864197530864198,139,70,57
cellsam_generalist,pannuke,pannuke_fold1_1063.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1063_cellsam.tif,300,276,0.7317982873453853,0.5770361923053838,0.5294131667663654,0.6806740715567555,0.7777777777777778,0.47732703606870763,0.7466666666666667,0.8115942028985508,0.7777777777777778,224,76,52
cellsam_generalist,pannuke,pannuke_fold1_1064.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1064_cellsam.tif,22,18,0.7815243975782847,0.6413951957880882,0.63306924700737,0.84409232934316,0.75,0.5869814202087045,0.6818181818181818,0.8333333333333334,0.75,15,7,3
cellsam_generalist,pannuke,pannuke_fold1_1065.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/pannuke_fold1_1065_cellsam.tif,16,16,0.6962141460884829,0.5339942475980662,0.6357721798121929,0.7824888366919297,0.8125,0.5294081757169006,0.8125,0.8125,0.8125,13,3,3
